250,"BROWN, Jeffrey",Telephone Medicine,24,49,2,6
251,"BROWN, R. Allen",The Normans,12,22,2,6
252,"BROWN, R. F.",Spanish-English/English-Spanish Dictionary,22,19,2,2
253,BROWN/SCHULTZ,Iditarod Country,25,3,2,6
254,BROWNING/HOLLENFER,Roaming the Back Roads - Day Trips by Car through Northern California ,25,3,2,9
255,"BRUN, Jac",Vigeland - Sculpture Park and Museum in Oslo,25,22,2,6
256,"BRUSAW, Charles",The Business Writer's Handbook,5,11,2,7
257,"BUCHAN, James",Jeddah,25,35,2,6
258,"BUCHWALD, Art",I Think I Don't Remember,13,3,2,6
259,"BUCHWALD, Art",You Can Fool all of the People all of the Time,13,3,2,6
260,"BUCI, Mario",Chagall,2,22,2,6
261,BUCKINGHAM-COFFMAN,"First, Break all the Rules",15,11,2,6
262,"BUCKLEY, William",Happy Days Were Here Again,20,3,2,6
263,"BUCKLEY, William",On the Firing Line,20,3,2,6
264,BUDDHA,The Dhammapada,23,10,2,2
265,"BUECHNER, Thomas",Norman Rockwell,2,3,2,6
266,"BUGLIOSI,  Vincent",Helter Skelter - The True Story of the Manson Murders,26,3,2,6
267,"BURK, John",The Life and Works of Beethoven,16,8,2,6
268,"BURKHOLDER, J. Peter/GROUT, Donald/PALISCA, Claude",A History of Western Music - Seventh Edition,16,27,2,6
269,"BURNS, Ross",The World War I Album,12,53,2,6
270,"BUROV, Nikolay",St. Isaac's Cathedral,25,46,2,6
271,"BURROWS, John (Editor)","Classical Music - Composers, Performers, Instruments, Key Works",16,44,2,6
272,"BURROWS, John & WALLACE, Mike",Gotham - A History of New York City to 1898,12,3,2,9
273,"BURROWS, Roger & GILLIGAN, Jeff",Birds of Oregon,25,3,2,6
274,"BURTON, Richard (Translator)",The Kama Sutra,6,7,2,6
275,"BURTON, Robert",Southern Horizons - The History of the British Antarctic Territory,12,6,2,6
276,"BURTT, E. A.",The Teachings of the Compassionate Buddha,23,10,2,6
277,"BURY, John Bagnell",A History of Greece - To the Death of Alexander the Great,12,5,2,6
278,"BURY, John Bagnell",The Invasion of Europe by the Barbarians,12,5,2,6
279,"BUSCHERT, Mel/SANDFORD, Robert",Panorama of the Canadian Rockies,19,3,2,6
